"Time (s)","Pressure (hPa)"
1.892958677E3,9.647197876E2
1.892992216E3,9.647297363E2
1.893025816E3,9.647097778E2
1.893059385E3,9.647097778E2
1.893092985E3,9.647097778E2
1.893126493E3,9.647197876E2
1.893160124E3,9.647197876E2
1.893193632E3,9.647097778E2
1.893227232E3,9.647197876E2
1.893260771E3,9.647197876E2
1.893294340E3,9.647197876E2
1.893327909E3,9.647197876E2
1.893361509E3,9.647197876E2
1.893395048E3,9.647297363E2
1.893428648E3,9.647397461E2
1.893467253E3,9.647297363E2
1.893495787E3,9.647097778E2
1.893529356E3,9.647097778E2
1.893562925E3,9.646997681E2
1.893596495E3,9.646997681E2
1.893630064E3,9.647097778E2
1.893663603E3,9.647097778E2
1.893697203E3,9.647097778E2
1.893730741E3,9.647097778E2
1.893764341E3,9.647097778E2
1.893802061E3,9.647097778E2
1.893831510E3,9.647097778E2
1.893865049E3,9.647097778E2
1.893898619E3,9.646997681E2
1.893932218E3,9.646898193E2
1.893965757E3,9.647097778E2
